Random State,Best Parameters,Validation Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1
0,"{'metric': 'minkowski', 'n_neighbors': 10, 'weights': 'distance'}",0.8948775756304724,0.8940480684535045,0.9054592164418754,0.797488403665573,0.848051010587103
1,"{'metric': 'minkowski', 'n_neighbors': 10, 'weights': 'distance'}",0.8939862633041472,0.8954741831299022,0.9026773252125365,0.8048421767168231,0.850956937799043
2,"{'metric': 'minkowski', 'n_neighbors': 10, 'weights': 'distance'}",0.893566822209406,0.895767794975043,0.9002267573696145,0.8084624957574387,0.8518805507540085
3,"{'metric': 'minkowski', 'n_neighbors': 10, 'weights': 'distance'}",0.8940386934409899,0.8940061239041986,0.8992914979757085,0.8041633668967078,0.8490712536582452
4,"{'metric': 'minkowski', 'n_neighbors': 10, 'weights': 'distance'}",0.891574477009385,0.8915313954951554,0.9037840630246674,0.7917185201945921,0.8440477626341817
