Random State,Best Parameters,Validation Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1
0,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9170030933780737,0.9155236776980832,0.9400386847195358,0.8247539314402081,0.878630830420634
1,"{'max_depth': 50, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9221412467886542,0.9170336814730926,0.9360620312698614,0.8331259192216314,0.8815994253561594
2,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9141718659885703,0.9177467388112914,0.9363105810707942,0.8349360787419391,0.8827223252197836
3,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9162166413254339,0.9153978440501657,0.9352986217457887,0.8291661952709583,0.8790404797601199
4,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9197818906307346,0.9169497923744809,0.9418889318386806,0.8270166308405928,0.880722891566265
