Random State,Best Parameters,Validation Accuracy,Validation Precision,Validation Recall,Validation F1,Test Accuracy,Test Precision,Test Recall,Test F1
0,"{'colsample_bytree': 1.0, 'eval_metric': 'logloss', 'max_depth': 10, 'n_estimators': 50, 'objective': 'binary:logistic', 'subsample': 1.0}",0.9504535206836889,0.9679193400549955,0.8960543063215952,0.930601454064772,0.9527284929323434,0.9710481309552895,0.8993098766828826,0.9338032305433186
1,"{'colsample_bytree': 1.0, 'eval_metric': 'logloss', 'max_depth': 10, 'n_estimators': 50, 'objective': 'binary:logistic', 'subsample': 1.0}",0.951816704241598,0.9635322483423749,0.9042568236458776,0.9329539651273072,0.9504215427205235,0.9662647667762757,0.8976128521325942,0.930674486803519
2,"{'colsample_bytree': 1.0, 'eval_metric': 'logloss', 'max_depth': 10, 'n_estimators': 50, 'objective': 'binary:logistic', 'subsample': 1.0}",0.94830388507314,0.9596615802991388,0.8983170697213972,0.9279766252739226,0.9531898829747074,0.9672111312764671,0.9044009503337481,0.9347521047708138
3,"{'colsample_bytree': 0.5, 'eval_metric': 'logloss', 'max_depth': 10, 'n_estimators': 50, 'objective': 'binary:logistic', 'subsample': 1.0}",0.9495622083573638,0.9605005276647067,0.9010041012586621,0.9298015178050204,0.9540707185101296,0.9669561022672455,0.9071161896142097,0.9360807892125387
4,"{'colsample_bytree': 0.5, 'eval_metric': 'logloss', 'max_depth': 10, 'n_estimators': 50, 'objective': 'binary:logistic', 'subsample': 1.0}",0.952603156294238,0.9654339622641509,0.9045396690708528,0.9339953271028038,0.9518476573969212,0.9689062309474454,0.898970471772825,0.9326291079812207
