Random State,Best Parameters,Validation Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1
0,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8270854086929167,0.8257203976343275,0.8241073899806255,0.6737187464645322,0.7413632119514473
1,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8293923347139937,0.826265676775303,0.8196542806587723,0.6812987894558208,0.7440998393673545
2,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",0.8250930634928957,0.8292017952267103,0.8211831289583614,0.6894445072972055,0.7495694956949569
3,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8269281182823888,0.8280273478461474,0.8280492869998616,0.6766602556850323,0.7447391358485868
4,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8252503539034237,0.8247137284509878,0.8269716531013191,0.6667043783233397,0.7382398997807704
